"filename", "language", "Python", "Ruby", "Shell Script", "JSON", "Markdown", "YAML", "JSON with Comments", "comment", "blank", "total"
"e:/dev/github/video_loom/src/test_sys_utils.py", "Python", -3, 0, 0, 0, 0, 0, 0, 0, -3, -6
"e:/dev/github/video_loom/src/test_time_utils.py", "Python", -8, 0, 0, 0, 0, 0, 0, 0, -5, -13
"e:/dev/github/video_loom/src/test_timeline_utils.py", "Python", -87, 0, 0, 0, 0, 0, 0, -3, -23, -113
"e:/dev/github/video_loom/src/test_video_utils.py", "Python", -9, 0, 0, 0, 0, 0, 0, 0, -3, -12
"e:/dev/github/video_loom/src/time_utils.py", "Python", -10, 0, 0, 0, 0, 0, 0, 0, -5, -15
"e:/dev/github/video_loom/src/timeline_frame.py", "Python", -22, 0, 0, 0, 0, 0, 0, -3, -9, -34
"e:/dev/github/video_loom/src/timeline_utils.py", "Python", -84, 0, 0, 0, 0, 0, 0, 0, -20, -104
"e:/dev/github/video_loom/src/toolbar_frame.py", "Python", -22, 0, 0, 0, 0, 0, 0, -2, -9, -33
"e:/dev/github/video_loom/src/video_control_frame.py", "Python", -108, 0, 0, 0, 0, 0, 0, -5, -16, -129
"e:/dev/github/video_loom/src/video_frame.py", "Python", -198, 0, 0, 0, 0, 0, 0, -25, -40, -263
"e:/dev/github/video_loom/src/video_import_frame.py", "Python", -112, 0, 0, 0, 0, 0, 0, -2, -24, -138
"e:/dev/github/video_loom/src/video_renderer_frame.py", "Python", -84, 0, 0, 0, 0, 0, 0, -8, -14, -106
"e:/dev/github/video_loom/src/video_setting_frame.py", "Python", -25, 0, 0, 0, 0, 0, 0, -2, -9, -36
"e:/dev/github/video_loom/src/video_utils.py", "Python", -21, 0, 0, 0, 0, 0, 0, -8, -2, -31
"e:/dev/github/video_loom/src/windows.py", "Python", -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"Total", "-", 393, 0, 0, 0, 1, 0, 0, 12, 74, 480
